from,to,unfinished,finished
C0001,C0001,80983,165849
C0001,C0002,465,771
C0001,C0003,1583,4674
C0001,C0004,3567,7502
C0001,C0005,2985,7459
C0001,C0006,4356,7777
C0001,C0007,5530,17750
C0001,C0008,17834,28439
C0001,C0009,8131,20558
C0001,C0010,1212,2136
C0001,C0011,2365,4834
C0001,C0012,386,1508
C0001,C0013,1388,2069
C0001,C0014,11002,21811
C0001,C0015,2582,4542
C0001,C0016,17597,34019
C0001,C0017,465,771
C0001,C0018,4,14
C0001,C0019,350,705
C0001,C0020,312,2614
C0001,C0021,307,401
C0001,C0022,614,954
C0001,C0023,246,591
C0001,C0024,137,434
C0001,C0025,139,443
C0001,C0026,187,371
C0001,C0027,182,441
C0001,C0028,415,946
C0001,C0029,174,510
C0001,C0030,60,215
C0001,C0031,2027,3551
C0001,C0032,530,716
C0001,C0033,797,1446
C0001,C0034,1261,2707
C0001,C0035,1623,2503
C0001,C0036,145,405
C0001,C0037,143,634
C0001,C0038,1293,5086
C0001,C0039,298,1135
C0001,C0040,603,849
C0001,C0041,422,3076
C0001,C0042,1216,2925
C0001,C0043,148,381
C0001,C0044,249,578
C0001,C0045,622,1835
C0001,C0046,194,449
C0001,C0047,133,412
C0001,C0048,536,1251
C0001,C0049,1954,4286
C0001,C0050,61,137
C0001,C0051,1285,1918
C0001,C0052,526,972
C0001,C0053,1536,3503
C0001,C0054,2450,1601
C0001,C0055,987,2655
C0001,C0056,2743,3616
C0001,C0057,716,1179
C0001,C0058,569,1004
C0001,C0059,750,2181
C0001,C0060,250,638
C0001,C0061,530,1199
C0001,C0062,3022,2565
C0001,C0063,274,708
C0001,C0064,181,277
C0001,C0065,860,2324
C0001,C0066,93,315
C0001,C0067,2617,5719
C0001,C0068,700,2118
C0001,C0069,149,193
C0001,C0070,1683,2062
C0001,C0071,242,659
C0001,C0072,424,818
C0001,C0073,1023,5225
C0001,C0074,340,1125
C0001,C0075,517,735
C0001,C0076,144,325
C0001,C0077,125,360
C0001,C0078,200,282
C0001,C0079,226,434
C0001,C0080,74,212
C0001,C0081,756,1334
C0001,C0082,88,165
C0001,C0083,251,333
C0001,C0084,493,1242
C0001,C0085,356,674
C0001,C0086,347,874
C0001,C0087,202,535
C0001,C0088,103,221
C0001,C0089,981,1061
C0001,C0090,102,252
C0001,C0091,351,575
C0001,C0092,747,884
C0001,C0093,678,832
C0001,C0094,153,453
C0001,C0095,240,236
C0001,C0096,239,592
C0001,C0097,289,565
C0001,C0098,2344,2666
C0001,C0099,286,1307
C0001,C0100,251,327
C0001,C0101,140,467
C0001,C0102,565,1049
C0001,C0103,727,1637
C0001,C0104,188,3097
C0001,C0105,1499,1662
C0001,C0106,9,124
C0001,C0107,411,1303
C0001,C0108,607,1187
C0001,C0109,579,1452
C0001,C0110,699,1396
C0001,C0111,97,450
C0001,C0112,126,227
C0001,C0113,278,1020
C0001,C0114,584,1066
C0001,C0115,1331,1458
C0001,C0116,166,321
C0001,C0117,11521,21701
C0001,C0118,2355,4990
C0001,C0119,3721,7328
C0001,C0120,713,1248
C0001,C0121,460,1038
C0001,C0122,636,1666
C0001,C0123,319,1134
C0001,C0124,184,588
C0001,C0125,497,1099
C0001,C0126,1284,2373
C0001,C0127,260,590
C0001,C0128,329,543
C0001,C0129,3341,4924
C0001,C0130,1376,1985
C0001,C0131,249,401
C0001,C0132,910,1522
C0001,C0133,2048,4197
C0001,C0134,1009,1879
C0001,C0135,992,2708
C0001,C0136,469,916
C0001,C0137,1127,3169
C0001,C0138,416,1221
C0001,C0139,1139,2738
C0001,C0140,651,587
C0001,C0141,149,444
C0001,C0142,228,726
C0001,C0143,1059,1758
C0001,C0144,1428,3085
C0001,C0145,803,1529
C0001,C0146,203,230
C0002,C0001,80983,165849
C0002,C0002,465,771
C0002,C0003,1583,4674
C0002,C0004,3567,7502
C0002,C0005,2985,7459
C0002,C0006,4356,7777
C0002,C0007,5530,17750
C0002,C0008,17834,28439
C0002,C0009,8131,20558
C0002,C0010,1212,2136
C0002,C0011,2365,4834
C0002,C0012,386,1508
C0002,C0013,1388,2069
C0002,C0014,11002,21811
C0002,C0015,2582,4542
C0002,C0016,17597,34019
C0002,C0017,465,771
C0002,C0018,4,14
C0002,C0019,350,705
C0002,C0020,312,2614
C0002,C0021,307,401
C0002,C0022,614,954
C0002,C0023,246,591
C0002,C0024,137,434
C0002,C0025,139,443
C0002,C0026,187,371
C0002,C0027,182,441
C0002,C0028,415,946
C0002,C0029,174,510
C0002,C0030,60,215
C0002,C0031,2027,3551
C0002,C0032,530,716
C0002,C0033,797,1446
C0002,C0034,1261,2707
C0002,C0035,1623,2503
C0002,C0036,145,405
C0002,C0037,143,634
C0002,C0038,1293,5086
C0002,C0039,298,1135
C0002,C0040,603,849
C0002,C0041,422,3076
C0002,C0042,1216,2925
C0002,C0043,148,381
C0002,C0044,249,578
C0002,C0045,622,1835
C0002,C0046,194,449
C0002,C0047,133,412
C0002,C0048,536,1251
C0002,C0049,1954,4286
C0002,C0050,61,137
C0002,C0051,1285,1918
C0002,C0052,526,972
C0002,C0053,1536,3503
C0002,C0054,2450,1601
C0002,C0055,987,2655
C0002,C0056,2743,3616
C0002,C0057,716,1179
C0002,C0058,569,1004
C0002,C0059,750,2181
C0002,C0060,250,638
C0002,C0061,530,1199
C0002,C0062,3022,2565
C0002,C0063,274,708
C0002,C0064,181,277
C0002,C0065,860,2324
C0002,C0066,93,315
C0002,C0067,2617,5719
C0002,C0068,700,2118
C0002,C0069,149,193
C0002,C0070,1683,2062
C0002,C0071,242,659
C0002,C0072,424,818
C0002,C0073,1023,5225
C0002,C0074,340,1125
C0002,C0075,517,735
C0002,C0076,144,325
C0002,C0077,125,360
C0002,C0078,200,282
C0002,C0079,226,434
C0002,C0080,74,212
C0002,C0081,756,1334
C0002,C0082,88,165
C0002,C0083,251,333
C0002,C0084,493,1242
C0002,C0085,356,674
C0002,C0086,347,874
C0002,C0087,202,535
C0002,C0088,103,221
C0002,C0089,981,1061
C0002,C0090,102,252
C0002,C0091,351,575
C0002,C0092,747,884
C0002,C0093,678,832
C0002,C0094,153,453
C0002,C0095,240,236
C0002,C0096,239,592
C0002,C0097,289,565
C0002,C0098,2344,2666
C0002,C0099,286,1307
C0002,C0100,251,327
C0002,C0101,140,467
C0002,C0102,565,1049
C0002,C0103,727,1637
C0002,C0104,188,3097
C0002,C0105,1499,1662
C0002,C0106,9,124
C0002,C0107,411,1303
C0002,C0108,607,1187
C0002,C0109,579,1452
C0002,C0110,699,1396
C0002,C0111,97,450
C0002,C0112,126,227
C0002,C0113,278,1020
C0002,C0114,584,1066
C0002,C0115,1331,1458
C0002,C0116,166,321
C0002,C0117,11521,21701
C0002,C0118,2355,4990
C0002,C0119,3721,7328
C0002,C0120,713,1248
C0002,C0121,460,1038
C0002,C0122,636,1666
C0002,C0123,319,1134
C0002,C0124,184,588
C0002,C0125,497,1099
C0002,C0126,1284,2373
C0002,C0127,260,590
C0002,C0128,329,543
C0002,C0129,3341,4924
C0002,C0130,1376,1985
C0002,C0131,249,401
C0002,C0132,910,1522
C0002,C0133,2048,4197
C0002,C0134,1009,1879
C0002,C0135,992,2708
C0002,C0136,469,916
C0002,C0137,1127,3169
C0002,C0138,416,1221
C0002,C0139,1139,2738
C0002,C0140,651,587
C0002,C0141,149,444
C0002,C0142,228,726
C0002,C0143,1059,1758
C0002,C0144,1428,3085
C0002,C0145,803,1529
C0002,C0146,203,230
C0003,C0001,80983,165849
C0003,C0002,465,771
C0003,C0003,1583,4674
C0003,C0004,3567,7502
C0003,C0005,2985,7459
C0003,C0006,4356,7777
C0003,C0007,5530,17750
C0003,C0008,17834,28439
C0003,C0009,8131,20558
C0003,C0010,1212,2136
C0003,C0011,2365,4834
C0003,C0012,386,1508
