cat_id,human_times,human_paths,shortest_times,shortest_paths
C0001,0,0,0,0
C0002,0,0,0,0
C0003,0,0,0,0
C0004,0,0,0,0
C0005,12143,10978,7243,6966
C0006,0,0,0,0
C0007,0,0,0,0
C0008,0,0,0,0
C0009,0,0,0,0
C0010,0,0,0,0
C0011,0,0,0,0
C0012,1901,1858,1369,1351
C0013,0,0,0,0
C0014,0,0,0,0
C0015,0,0,0,0
C0016,0,0,0,0
C0017,1993,1950,822,820
C0018,12,12,10,10
C0019,1353,1336,603,601
C0020,1524,1507,1329,1321
C0021,1114,1099,375,375
C0022,2524,2470,1790,1771
C0023,1186,1177,521,521
C0024,648,638,628,628
C0025,462,461,242,242
C0026,625,618,390,388
C0027,611,599,305,304
C0028,1654,1623,742,740
C0029,681,663,369,369
C0030,164,164,140,140
C0031,8053,7466,3287,3204
C0032,2209,2164,1977,1941
C0033,2882,2761,1109,1106
C0034,4854,4670,3292,3231
C0035,7794,7390,3115,3088
C0036,426,426,307,307
C0037,581,576,426,426
C0038,4302,4153,2168,2167
C0039,1392,1383,889,885
C0040,2126,2069,812,804
C0041,2470,2438,1896,1889
C0042,4845,4646,2280,2250
C0043,599,596,346,345
C0044,902,889,464,464
C0045,986,965,801,798
C0046,751,739,628,623
C0047,591,586,366,366
C0048,2711,2660,1131,1118
C0049,4192,3950,2359,2335
C0050,357,353,317,317
C0051,2704,2640,1993,1969
C0052,2046,1989,1138,1133
C0053,3449,3306,1719,1690
C0054,8193,7856,4201,4141
C0055,2179,2113,1220,1211
C0056,8351,7642,4662,4464
C0057,2618,2518,1268,1254
C0058,809,801,368,368
C0059,2741,2678,1643,1622
C0060,1069,1034,670,659
C0061,1465,1432,1684,1659
C0062,11871,11235,5329,5207
C0063,1226,1211,682,682
C0064,776,767,1395,1392
C0065,3191,3109,2355,2332
C0066,652,646,226,226
C0067,1197,1162,739,738
C0068,3091,2839,2873,2804
C0069,404,400,330,330
C0070,6260,5933,2426,2387
C0071,683,679,412,412
C0072,1505,1474,2092,2079
C0073,5761,5525,5241,5117
C0074,1219,1177,964,955
C0075,2289,2254,640,639
C0076,1627,1622,316,316
C0077,733,726,324,324
C0078,1005,997,329,326
C0079,969,963,440,440
C0080,260,259,191,189
C0081,2727,2657,1391,1375
C0082,310,309,280,280
C0083,578,574,285,285
C0084,1517,1496,893,888
C0085,932,914,558,553
C0086,1385,1341,833,831
C0087,706,701,370,370
C0088,333,332,268,268
C0089,3057,2950,1051,1049
C0090,430,430,238,238
C0091,934,923,563,563
C0092,2974,2903,983,981
C0093,2098,2052,866,864
C0094,625,620,374,374
C0095,804,800,358,358
C0096,985,976,547,547
C0097,1546,1512,504,503
C0098,7925,7472,6285,6113
C0099,1145,1141,765,765
C0100,700,700,339,338
C0101,456,452,1434,1433
C0102,2091,2007,1029,1022
C0103,2684,2608,1335,1322
C0104,1314,1308,1157,1156
C0105,7630,7041,3318,3246
C0106,110,110,109,109
C0107,1600,1577,1015,1000
C0108,1978,1932,1007,1004
C0109,2042,2003,1051,1043
C0110,2905,2837,1447,1421
C0111,435,424,353,353
C0112,348,346,246,246
C0113,709,703,543,542
C0114,2988,2907,1037,1030
C0115,4476,4263,2006,1990
C0116,530,505,329,329
C0117,0,0,0,0
C0118,0,0,0,0
C0119,0,0,0,0
C0120,2125,2080,1503,1496
C0121,1302,1271,1154,1139
C0122,1952,1914,1231,1219
C0123,1631,1588,781,766
C0124,723,720,420,419
C0125,1492,1363,843,841
C0126,3827,3623,1989,1960
C0127,1094,1086,739,738
C0128,1065,1032,532,531
C0129,12401,10781,6979,6704
C0130,3961,3601,2374,2352
C0131,822,821,347,347
C0132,4030,3823,1883,1864
C0133,8843,8083,4748,4643
C0134,3696,3553,3033,2977
C0135,3995,3830,2623,2547
C0136,1755,1729,600,598
C0137,4479,4163,2372,2340
C0138,1170,1160,927,923
C0139,4123,3965,2300,2271
C0140,1276,1274,1008,1008
C0141,505,499,267,267
C0142,1001,996,526,526
C0143,4285,4103,1412,1394
C0144,4967,4424,3056,2983
C0145,2609,2521,961,955
C0146,559,552,191,190
