from,to,unfinished,finished
C0001,C0001,51318,24847
C0001,C0002,334,156
C0001,C0003,882,556
C0001,C0004,2130,1097
C0001,C0005,4155,590
C0001,C0006,2958,2168
C0001,C0007,5000,4069
C0001,C0008,13029,3378
C0001,C0009,5210,2529
C0001,C0010,1343,662
C0001,C0011,1281,911
C0001,C0012,540,190
C0001,C0013,941,583
C0001,C0014,5913,2716
C0001,C0015,1811,592
C0001,C0016,13994,7761
C0001,C0017,334,156
C0001,C0019,244,108
C0001,C0020,280,202
C0001,C0021,191,52
C0001,C0022,174,197
C0001,C0023,103,120
C0001,C0024,48,69
C0001,C0025,53,95
C0001,C0026,132,77
C0001,C0027,123,87
C0001,C0028,296,100
C0001,C0029,200,72
C0001,C0030,193,53
C0001,C0031,1041,483
C0001,C0032,188,85
C0001,C0033,424,173
C0001,C0034,2086,1613
C0001,C0035,220,262
C0001,C0036,77,55
C0001,C0037,112,253
C0001,C0038,417,208
C0001,C0039,264,164
C0001,C0040,346,263
C0001,C0041,366,325
C0001,C0042,2261,2004
C0001,C0043,94,181
C0001,C0044,144,94
C0001,C0045,493,196
C0001,C0046,219,104
C0001,C0047,136,56
C0001,C0048,194,271
C0001,C0049,1584,262
C0001,C0050,69,30
C0001,C0051,1060,218
C0001,C0052,774,216
C0001,C0053,2181,288
C0001,C0054,1020,230
C0001,C0055,1588,321
C0001,C0056,1090,382
C0001,C0057,409,190
C0001,C0058,652,101
C0001,C0059,874,390
C0001,C0060,127,67
C0001,C0061,245,133
C0001,C0062,1293,422
C0001,C0063,149,91
C0001,C0064,186,102
C0001,C0065,805,316
C0001,C0066,81,26
C0001,C0067,2177,1203
C0001,C0068,1714,953
C0001,C0069,25,13
C0001,C0070,558,290
C0001,C0071,101,55
C0001,C0072,203,132
C0001,C0073,259,206
C0001,C0074,468,116
C0001,C0075,158,68
C0001,C0076,330,210
C0001,C0077,21,26
C0001,C0078,552,195
C0001,C0079,287,176
C0001,C0080,38,164
C0001,C0081,493,72
C0001,C0082,128,70
C0001,C0083,165,86
C0001,C0084,173,276
C0001,C0085,164,98
C0001,C0086,184,161
C0001,C0087,318,89
C0001,C0088,120,65
C0001,C0089,353,337
C0001,C0090,150,92
C0001,C0091,90,203
C0001,C0092,170,101
C0001,C0093,239,81
C0001,C0094,73,25
C0001,C0095,75,32
C0001,C0096,215,109
C0001,C0097,135,96
C0001,C0098,547,342
C0001,C0099,128,75
C0001,C0100,83,59
C0001,C0101,98,86
C0001,C0102,459,143
C0001,C0103,410,192
C0001,C0104,256,90
C0001,C0105,1229,253
C0001,C0106,43,49
C0001,C0107,484,164
C0001,C0108,256,337
C0001,C0109,745,95
C0001,C0110,339,223
C0001,C0111,614,164
C0001,C0112,138,104
C0001,C0113,259,76
C0001,C0114,211,72
C0001,C0115,431,106
C0001,C0116,175,92
C0001,C0117,7862,5933
C0001,C0118,2869,743
C0001,C0119,3366,1114
C0001,C0120,802,113
C0001,C0121,665,146
C0001,C0122,1112,113
C0001,C0123,923,129
C0001,C0124,381,53
C0001,C0125,209,71
C0001,C0126,1539,997
C0001,C0127,98,61
C0001,C0128,219,38
C0001,C0129,976,694
C0001,C0130,422,141
C0001,C0131,99,31
C0001,C0132,684,278
C0001,C0133,848,643
C0001,C0134,940,537
C0001,C0135,2080,1785
C0001,C0136,285,153
C0001,C0137,1571,1701
C0001,C0138,412,194
C0001,C0139,1908,358
C0001,C0140,440,146
C0001,C0141,123,51
C0001,C0142,283,72
C0001,C0143,814,257
C0001,C0144,1407,537
C0001,C0145,451,173
C0001,C0146,551,112
C0002,C0001,408,201
C0002,C0002,5,1
C0002,C0003,10,4
C0002,C0004,20,3
C0002,C0005,22,4
C0002,C0006,4,10
C0002,C0007,78,54
C0002,C0008,97,29
C0002,C0009,22,6
C0002,C0010,10,4
C0002,C0011,5,5
C0002,C0012,0,1
C0002,C0013,15,8
C0002,C0014,51,20
C0002,C0015,14,5
C0002,C0016,138,80
C0002,C0017,5,1
C0002,C0020,9,2
C0002,C0021,1,1
C0002,C0022,0,1
C0002,C0026,0,1
C0002,C0027,1,1
C0002,C0029,11,1
C0002,C0031,8,0
C0002,C0032,0,3
C0002,C0033,0,1
C0002,C0034,2,3
C0002,C0035,2,2
C0002,C0036,0,2
C0002,C0037,2,7
C0002,C0038,9,2
C0002,C0039,4,1
C0002,C0040,3,2
C0002,C0041,0,2
C0002,C0042,52,26
C0002,C0043,0,2
C0002,C0044,6,3
C0002,C0045,2,4
C0002,C0047,1,0
C0002,C0048,1,6
C0002,C0049,11,4
C0002,C0051,13,2
C0002,C0052,2,0
C0002,C0053,12,2
C0002,C0054,10,1
C0002,C0055,11,5
C0002,C0056,3,4
C0002,C0057,2,3
C0002,C0058,6,0
C0002,C0059,8,1
C0002,C0061,7,3
C0002,C0062,10,4
C0002,C0063,2,0
C0002,C0064,0,1
C0002,C0065,4,2
C0002,C0067,2,2
C0002,C0068,4,1
C0002,C0070,4,1
C0002,C0072,2,0
C0002,C0073,1,0
C0002,C0074,5,1
C0002,C0075,1,0
C0002,C0076,1,1
C0002,C0078,7,1
C0002,C0079,1,2
C0002,C0080,0,1
C0002,C0081,1,1
C0002,C0082,0,1
C0002,C0083,3,1
C0002,C0084,1,0
C0002,C0085,3,1
C0002,C0086,0,1
C0002,C0087,13,4
C0002,C0089,2,3
C0002,C0090,0,1
C0002,C0091,1,1
C0002,C0092,1,2
C0002,C0093,3,1
C0002,C0094,4,0
C0002,C0096,1,1
C0002,C0097,0,1
C0002,C0098,4,3
C0002,C0099,0,1
C0002,C0103,1,2
C0002,C0104,1,1
C0002,C0105,18,2
C0002,C0107,1,1
C0002,C0108,6,2
C0002,C0109,5,0
C0002,C0110,6,2
C0002,C0111,2,1
C0002,C0112,0,1
C0002,C0113,1,1
C0002,C0114,9,1
C0002,C0115,2,1
C0002,C0117,88,64
C0002,C0118,24,9
C0002,C0119,26,9
C0002,C0120,1,1
C0002,C0121,3,1
C0002,C0122,6,0
C0002,C0123,8,1
C0002,C0124,2,0
C0002,C0127,1,1
C0002,C0128,1,1
C0002,C0129,2,7
C0002,C0130,4,1
C0002,C0131,1,0
C0002,C0132,4,2
C0002,C0133,9,7
C0002,C0134,11,8
C0002,C0135,10,10
C0002,C0136,2,0
C0002,C0137,45,29
C0002,C0138,3,4
C0002,C0139,18,2
C0002,C0140,1,2
C0002,C0141,2,1
C0002,C0143,3,4
